Choice,x1a,x2a,x3a,x4a,p1a,p2a,p3a,p4a,x1b,x2b,x3b,x4b,p1b,p2b,p3b,p4b,MaxMinRP,MinMaxRP,XatMaxPRP,EVa ,EVb ,SQ,,,MaxMin,,,MinMax,,,XatMaxP,,,Exp,,,KR,,,,,,
46,57,221,331,,0.3,0.1,0.6,,57,167,386,,0.1,0.6,0.3,,57,331,331,237.8,221.7,1,180.8,164.7,1,-186.4,-235.1,1,-186.4,-235.1,1,-55.92,-49.29,1,176.96,165.81,1,0,0,0,0,0,0
47,111,194,277,,0.1,0.05,0.85,,111,318,359,,0.5,0.3,0.2,,111,277,277,256.25,222.7,1,145.25,111.7,1,-41.5,-137.3,1,-41.5,-137.3,1,-17.6375,-55.85,1,238.1975,164.39,1,0,0,0,0,0,0
48,6,229,377,,0.05,0.8,0.15,,6,155,451,,0.1,0.7,0.2,,6,377,229,240.05,199.3,1,234.05,193.3,1,-273.9,-370.2,1,-0.1,-103.8,1,-20.5425,-50.34,1,210.5875,138.53,1,0,0,0,0,0,0
49,100,,,,1,,,,13,186,,,0.45,0.55,,,100,100,100,100,108.15,2,0,-31,1,0,-31,1,0,-31,1,0,-42.8175,1,100,65.3325,1,1,1,0,1,1,0
50,224,,,,1,,,,12,294,,,0.25,0.75,,,224,224,224,224,223.5,1,0,-53.5,1,0,-53.5,1,0,-53.5,1,0,-52.875,1,224,170.625,1,0,0,0,0,0,0
51,276,,,,1,,,,80,374,472,,0.35,0.45,0.2,,276,276,276,276,290.7,2,0,-53.9,1,0,-53.9,1,0,-53.9,1,0,-73.745,1,276,208.135,1,1,1,0,1,1,0
52,203,,,,1,,,,106,154,299,,0.45,0.05,0.5,,203,203,203,203,204.9,2,0,-44.2,1,0,-44.2,1,0,-44.2,1,0,-47.05,1,203,156.77,1,1,1,0,1,1,0
53,196,,,,1,,,,95,146,246,297,0.3,0.05,0.5,0.15,196,196,196,196,203.35,2,0,-25.45,1,0,-25.45,1,0,-25.45,1,0,-35.3725,1,196,163.3875,1,1,1,0,1,1,0
54,383,,,,1,,,,171,453,,,0.25,0.75,,,383,383,383,383,382.5,1,0,-53.5,1,0,-53.5,1,0,-53.5,1,0,-52.875,1,383,329.625,1,0,0,0,0,0,0
55,297,404,,,0.55,0.45,,,189,243,350,511,0.05,0.05,0.85,0.05,297,404,350,345.15,344.65,1,48.15,39.55,1,-117.7,-124.05,1,-34,-18.75,2,-26.4825,-12.865,2,318.6675,324.8075,2,0,0,0,1,1,1
